Name,"Wikidata QID","subclass of","instance of","musical parameter","used by"
portato,Q1930998,articulation,"musical notation",timbre,conductor
portato,Q1930998,articulation,"musical notation",timbre,composer
portato,Q1930998,articulation,"musical notation",timbre,performer
portato,Q1930998,articulation,"musical technique",duration,conductor
portato,Q1930998,articulation,"musical technique",duration,composer
portato,Q1930998,articulation,"musical technique",duration,performer
portato,Q1930998,articulation,"musical technique",timbre,conductor
portato,Q1930998,articulation,"musical technique",timbre,composer
portato,Q1930998,articulation,"musical technique",timbre,performer
portato,Q1930998,"musical phrasing","musical notation",duration,conductor
portato,Q1930998,"musical phrasing","musical notation",duration,composer
portato,Q1930998,"musical phrasing","musical notation",duration,performer
portato,Q1930998,"musical phrasing","musical notation",timbre,conductor
portato,Q1930998,"musical phrasing","musical notation",timbre,composer
portato,Q1930998,"musical phrasing","musical notation",timbre,performer
portato,Q1930998,"musical phrasing","musical technique",duration,conductor
portato,Q1930998,"musical phrasing","musical technique",duration,composer
portato,Q1930998,"musical phrasing","musical technique",duration,performer
portato,Q1930998,"musical phrasing","musical technique",timbre,conductor
portato,Q1930998,"musical phrasing","musical technique",timbre,composer
portato,Q1930998,"musical phrasing","musical technique",timbre,performer
portato,Q1930998,"musical expression","musical notation",duration,conductor
portato,Q1930998,"musical expression","musical notation",duration,composer
portato,Q1930998,"musical expression","musical notation",duration,performer
portato,Q1930998,"musical expression","musical notation",timbre,conductor
portato,Q1930998,"musical expression","musical notation",timbre,composer
portato,Q1930998,"musical expression","musical notation",timbre,performer
portato,Q1930998,"musical expression","musical technique",duration,conductor
portato,Q1930998,"musical expression","musical technique",duration,composer
portato,Q1930998,"musical expression","musical technique",duration,performer
portato,Q1930998,"musical expression","musical technique",timbre,conductor
portato,Q1930998,"musical expression","musical technique",timbre,composer
portato,Q1930998,"musical expression","musical technique",timbre,performer
signature,Q188675,,,,composer
signature,Q188675,,,,conductor
signature,Q188675,,,,performer
slur,Q863575,articulation,"musical notation",duration,conductor
slur,Q863575,articulation,"musical notation",duration,performer
slur,Q863575,articulation,"musical notation",duration,editor
slur,Q863575,articulation,"musical notation",timbre,conductor
slur,Q863575,articulation,"musical notation",timbre,performer
slur,Q863575,articulation,"musical notation",timbre,editor
citation,Q1713,,,,editor
citation,Q1713,,,,"scholar (owner)"
"ink stamp",Q57305415,,impression,,"scholar (owner)"
"ad libitum",Q310735,ornament,"musical notation",pitch,performer
"ad libitum",Q310735,ornament,"musical notation",pitch,composer
"ad libitum",Q310735,ornament,"musical notation",duration,performer
"ad libitum",Q310735,ornament,"musical notation",duration,composer
"ad libitum",Q310735,ornament,"musical concept",pitch,performer
"ad libitum",Q310735,ornament,"musical concept",pitch,composer
"ad libitum",Q310735,ornament,"musical concept",duration,performer
"ad libitum",Q310735,ornament,"musical concept",duration,composer
"ad libitum",Q310735,ornament,"musical improvisation",pitch,performer
"ad libitum",Q310735,ornament,"musical improvisation",pitch,composer
"ad libitum",Q310735,ornament,"musical improvisation",duration,performer
"ad libitum",Q310735,ornament,"musical improvisation",duration,composer
"musica ficta",Q1852714,accidental,"musical notation",pitch,editor
"musica ficta",Q1852714,accidental,"musical notation",pitch,"scholar (owner)"
"musica ficta",Q1852714,accidental,"musical concept",pitch,editor
"musica ficta",Q1852714,accidental,"musical concept",pitch,"scholar (owner)"
"natural sign",Q747691,accidental,"musical notation",pitch,composer
"natural sign",Q747691,accidental,"musical notation",pitch,performer
"natural sign",Q747691,accidental,"musical notation",pitch,editor
clef,Q181040,,"musical notation",pitch,editor
clef,Q181040,,"musical notation",pitch,performer
piano,Q2707020,dynamic,"musical notation",loudness,composer
piano,Q2707020,dynamic,"musical notation",loudness,conductor
piano,Q2707020,dynamic,"musical notation",loudness,editor
mezzopiano,Q2147562,dynamic,"musical notation",loudness,composer
mezzopiano,Q2147562,dynamic,"musical notation",loudness,conductor
mezzopiano,Q2147562,dynamic,"musical notation",loudness,editor
mezzopiano,Q2147562,piano,"musical notation",loudness,composer
mezzopiano,Q2147562,piano,"musical notation",loudness,conductor
mezzopiano,Q2147562,piano,"musical notation",loudness,editor
mezzoforte,Q7258512,dynamic,"musical notation",loudness,composer
mezzoforte,Q7258512,dynamic,"musical notation",loudness,conductor
mezzoforte,Q7258512,dynamic,"musical notation",loudness,editor
mezzoforte,Q7258512,forte,"musical notation",loudness,composer
mezzoforte,Q7258512,forte,"musical notation",loudness,conductor
mezzoforte,Q7258512,forte,"musical notation",loudness,editor
fortepiano,Q2192323,dynamic,"musical notation",loudness,composer
fortepiano,Q2192323,dynamic,"musical notation",loudness,conductor
fortepiano,Q2192323,dynamic,"musical notation",loudness,editor
fortepiano,Q2192323,forte,"musical notation",loudness,composer
fortepiano,Q2192323,forte,"musical notation",loudness,conductor
fortepiano,Q2192323,forte,"musical notation",loudness,editor
fortepiano,Q2192323,piano,"musical notation",loudness,composer
fortepiano,Q2192323,piano,"musical notation",loudness,conductor
fortepiano,Q2192323,piano,"musical notation",loudness,editor
forte,Q1191094,dynamic,"musical notation",loudness,composer
forte,Q1191094,dynamic,"musical notation",loudness,conductor
forte,Q1191094,dynamic,"musical notation",loudness,editor
tempo,Q189214,,"musical concept",duration,composer
tempo,Q189214,,"musical concept",duration,conductor
tempo,Q189214,,"musical concept",duration,editor
tempo,Q189214,,"sound concept",duration,composer
tempo,Q189214,,"sound concept",duration,conductor
tempo,Q189214,,"sound concept",duration,editor
loudness,Q622324,,"sound concept",loudness,composer
loudness,Q622324,,"sound concept",loudness,conductor
loudness,Q622324,,"sound concept",loudness,editor
loudness,Q622324,,"sound concept",loudness,performer
loudness,Q622324,,"musical concept",loudness,composer
loudness,Q622324,,"musical concept",loudness,conductor
loudness,Q622324,,"musical concept",loudness,editor
loudness,Q622324,,"musical concept",loudness,performer
articulation,Q372923,,"musical notation",timbre,performer
articulation,Q372923,,"musical notation",timbre,conductor
articulation,Q372923,,"musical notation",duration,performer
articulation,Q372923,,"musical notation",duration,conductor
articulation,Q372923,,"musical concept",timbre,performer
articulation,Q372923,,"musical concept",timbre,conductor
articulation,Q372923,,"musical concept",duration,performer
articulation,Q372923,,"musical concept",duration,conductor
accent,Q424494,,"musical notation",duration,composer
accent,Q424494,,"musical notation",duration,conductor
accent,Q424494,,"musical notation",duration,editor
accent,Q424494,,"musical notation",duration,performer
accent,Q424494,,"musical notation",timbre,composer
accent,Q424494,,"musical notation",timbre,conductor
accent,Q424494,,"musical notation",timbre,editor
accent,Q424494,,"musical notation",timbre,performer
staccato,Q466944,,"musical notation",timbre,composer
staccato,Q466944,,"musical notation",timbre,conductor
staccato,Q466944,,"musical notation",timbre,performer
staccato,Q466944,,"musical notation",duration,composer
staccato,Q466944,,"musical notation",duration,conductor
staccato,Q466944,,"musical notation",duration,performer
staccatissimo,Q671521,,"musical notation",duration,conductor
staccatissimo,Q671521,,"musical notation",duration,composer
staccatissimo,Q671521,,"musical notation",duration,performer
staccatissimo,Q671521,,"musical notation",timbre,conductor
staccatissimo,Q671521,,"musical notation",timbre,composer
staccatissimo,Q671521,,"musical notation",timbre,performer
staccatissimo,Q671521,staccato,"musical notation",duration,conductor
staccatissimo,Q671521,staccato,"musical notation",duration,composer
staccatissimo,Q671521,staccato,"musical notation",duration,performer
staccatissimo,Q671521,staccato,"musical notation",timbre,conductor
staccatissimo,Q671521,staccato,"musical notation",timbre,composer
staccatissimo,Q671521,staccato,"musical notation",timbre,performer
legato,Q649116,,"musical notation",timbre,performer
legato,Q649116,,"musical notation",timbre,editor
legato,Q649116,,"musical notation",timbre,conductor
legato,Q649116,,"musical notation",duration,performer
legato,Q649116,,"musical notation",duration,editor
legato,Q649116,,"musical notation",duration,conductor
legato,Q649116,,glyph,timbre,performer
legato,Q649116,,glyph,timbre,editor
legato,Q649116,,glyph,timbre,conductor
legato,Q649116,,glyph,duration,performer
legato,Q649116,,glyph,duration,editor
legato,Q649116,,glyph,duration,conductor
legato,Q649116,"musical phrasing","musical notation",timbre,performer
legato,Q649116,"musical phrasing","musical notation",timbre,editor
legato,Q649116,"musical phrasing","musical notation",timbre,conductor
legato,Q649116,"musical phrasing","musical notation",duration,performer
legato,Q649116,"musical phrasing","musical notation",duration,editor
legato,Q649116,"musical phrasing","musical notation",duration,conductor
legato,Q649116,"musical phrasing",glyph,timbre,performer
legato,Q649116,"musical phrasing",glyph,timbre,editor
legato,Q649116,"musical phrasing",glyph,timbre,conductor
legato,Q649116,"musical phrasing",glyph,duration,performer
legato,Q649116,"musical phrasing",glyph,duration,editor
legato,Q649116,"musical phrasing",glyph,duration,conductor
"flat sign",Q7001368,accidental,"musical notation",pitch,composer
"flat sign",Q7001368,accidental,"musical notation",pitch,editor
"flat sign",Q7001368,accidental,"musical notation",pitch,performer
"sharp sign",Q2542618,accidental,"musical notation",pitch,composer
"sharp sign",Q2542618,accidental,"musical notation",pitch,performer
"sharp sign",Q2542618,accidental,"musical notation",pitch,editor
"realization of figured bass",Q96401348,"figured bass","music theory",pitch,performer
"realization of figured bass",Q96401348,"figured bass","music theory",pitch,editor
"realization of figured bass",Q96401348,"figured bass","music theory",pitch,"scholar (owner)"
"realization of figured bass",Q96401348,"figured bass","music theory",duration,performer
"realization of figured bass",Q96401348,"figured bass","music theory",duration,editor
"realization of figured bass",Q96401348,"figured bass","music theory",duration,"scholar (owner)"
"realization of figured bass",Q96401348,"figured bass","musical technique",pitch,performer
"realization of figured bass",Q96401348,"figured bass","musical technique",pitch,editor
"realization of figured bass",Q96401348,"figured bass","musical technique",pitch,"scholar (owner)"
"realization of figured bass",Q96401348,"figured bass","musical technique",duration,performer
"realization of figured bass",Q96401348,"figured bass","musical technique",duration,editor
"realization of figured bass",Q96401348,"figured bass","musical technique",duration,"scholar (owner)"
"realization of figured bass",Q96401348,"figured bass","musical improvisation",pitch,performer
"realization of figured bass",Q96401348,"figured bass","musical improvisation",pitch,editor
"realization of figured bass",Q96401348,"figured bass","musical improvisation",pitch,"scholar (owner)"
"realization of figured bass",Q96401348,"figured bass","musical improvisation",duration,performer
"realization of figured bass",Q96401348,"figured bass","musical improvisation",duration,editor
"realization of figured bass",Q96401348,"figured bass","musical improvisation",duration,"scholar (owner)"
"realization of figured bass",Q96401348,instrumentation,"music theory",pitch,performer
"realization of figured bass",Q96401348,instrumentation,"music theory",pitch,editor
"realization of figured bass",Q96401348,instrumentation,"music theory",pitch,"scholar (owner)"
"realization of figured bass",Q96401348,instrumentation,"music theory",duration,performer
"realization of figured bass",Q96401348,instrumentation,"music theory",duration,editor
"realization of figured bass",Q96401348,instrumentation,"music theory",duration,"scholar (owner)"
"realization of figured bass",Q96401348,instrumentation,"musical technique",pitch,performer
"realization of figured bass",Q96401348,instrumentation,"musical technique",pitch,editor
"realization of figured bass",Q96401348,instrumentation,"musical technique",pitch,"scholar (owner)"
"realization of figured bass",Q96401348,instrumentation,"musical technique",duration,performer
"realization of figured bass",Q96401348,instrumentation,"musical technique",duration,editor
"realization of figured bass",Q96401348,instrumentation,"musical technique",duration,"scholar (owner)"
"realization of figured bass",Q96401348,instrumentation,"musical improvisation",pitch,performer
"realization of figured bass",Q96401348,instrumentation,"musical improvisation",pitch,editor
"realization of figured bass",Q96401348,instrumentation,"musical improvisation",pitch,"scholar (owner)"
"realization of figured bass",Q96401348,instrumentation,"musical improvisation",duration,performer
"realization of figured bass",Q96401348,instrumentation,"musical improvisation",duration,editor
"realization of figured bass",Q96401348,instrumentation,"musical improvisation",duration,"scholar (owner)"
"instrument reconstruction",,instrumentation,"music theory",pitch,"scholar (owner)"
"instrument reconstruction",,instrumentation,"music theory",pitch,editor
"instrument reconstruction",,instrumentation,"music theory",duration,"scholar (owner)"
"instrument reconstruction",,instrumentation,"music theory",duration,editor
"instrument reconstruction",,instrumentation,"music theory",loudness,"scholar (owner)"
"instrument reconstruction",,instrumentation,"music theory",loudness,editor
"instrument reconstruction",,instrumentation,"music theory",timbre,"scholar (owner)"
"instrument reconstruction",,instrumentation,"music theory",timbre,editor
Divisi,Q1230694,instrumentation,"musical concept",timbre,conductor
Divisi,Q1230694,instrumentation,"musical concept",timbre,composer
Divisi,Q1230694,instrumentation,"musical notation",timbre,conductor
Divisi,Q1230694,instrumentation,"musical notation",timbre,composer
instrumentation,Q617028,,"musical concept",timbre,composer
instrumentation,Q617028,,"musical concept",timbre,editor
instrumentation,Q617028,,"musical concept",timbre,conductor
variation,Q16920157,ornament,"musical technique",duration,performer
variation,Q16920157,ornament,"musical technique",duration,conductor
variation,Q16920157,ornament,"musical notation",duration,performer
variation,Q16920157,ornament,"musical notation",duration,conductor
"voice leading",Q2027877,,"musical-structural concept",pitch,"scholar (owner)"
"voice leading",Q2027877,,"musical-structural concept",pitch,editor
"voice leading",Q2027877,,"music theory",pitch,"scholar (owner)"
"voice leading",Q2027877,,"music theory",pitch,editor
date,Q186408,,,,composer
date,Q186408,,,,"scholar (owner)"
transposition,Q815323,,"musical concept",pitch,conductor
transposition,Q815323,,"musical concept",pitch,editor
transposition,Q815323,,"musical concept",pitch,performer
"colla parte",Q126950983,"musical technique","musical technique",pitch,editor
"colla parte",Q126950983,"musical technique","musical technique",pitch,performer
"colla parte",Q126950983,"musical technique","musical notation",pitch,editor
"colla parte",Q126950983,"musical technique","musical notation",pitch,performer
cadenza,Q1069389,ornament,"musical improvisation",pitch,performer
cadenza,Q1069389,ornament,"musical improvisation",pitch,editor
cadenza,Q1069389,ornament,"musical improvisation",duration,performer
cadenza,Q1069389,ornament,"musical improvisation",duration,editor
cadenza,Q1069389,ornament,"musical notation",pitch,performer
cadenza,Q1069389,ornament,"musical notation",pitch,editor
cadenza,Q1069389,ornament,"musical notation",duration,performer
cadenza,Q1069389,ornament,"musical notation",duration,editor
tremolo,Q123171932,ornament,"musical notation",pitch,composer
tremolo,Q123171932,ornament,"musical notation",pitch,performer
tremolo,Q123171932,ornament,"musical notation",duration,composer
tremolo,Q123171932,ornament,"musical notation",duration,performer
tremolo,Q123171932,ornament,"musical technique",pitch,composer
tremolo,Q123171932,ornament,"musical technique",pitch,performer
tremolo,Q123171932,ornament,"musical technique",duration,composer
tremolo,Q123171932,ornament,"musical technique",duration,performer
ornament,Q739589,"musical technique","musical technique",pitch,performer
ornament,Q739589,"musical technique","musical technique",pitch,editor
ornament,Q739589,"musical technique","musical technique",duration,performer
ornament,Q739589,"musical technique","musical technique",duration,editor
ornament,Q739589,"musical technique","musical notation",pitch,performer
ornament,Q739589,"musical technique","musical notation",pitch,editor
ornament,Q739589,"musical technique","musical notation",duration,performer
ornament,Q739589,"musical technique","musical notation",duration,editor
"messa di voce",Q1537440,"musical technique","musical technique",loudness,performer
"messa di voce",Q1537440,"musical technique","musical technique",loudness,conductor
"messa di voce",Q1537440,"musical technique","musical notation",loudness,performer
"messa di voce",Q1537440,"musical technique","musical notation",loudness,conductor
vibrato,Q377435,"musical technique","musical technique",timbre,performer
vibrato,Q377435,"musical technique","musical technique",pitch,performer
vibrato,Q377435,"musical technique","musical notation",timbre,performer
vibrato,Q377435,"musical technique","musical notation",pitch,performer
marcato,Q2524785,,"musical notation",duration,conductor
marcato,Q2524785,,"musical notation",duration,composer
marcato,Q2524785,,"musical notation",duration,performer
marcato,Q2524785,,"musical notation",timbre,conductor
marcato,Q2524785,,"musical notation",timbre,composer
marcato,Q2524785,,"musical notation",timbre,performer
"measure subdivision",,tempo,"musical-structural concept",duration,conductor
"measure subdivision",,tempo,"musical-structural concept",duration,performer
"measure subdivision",,tempo,glyph,duration,conductor
"measure subdivision",,tempo,glyph,duration,performer
"octave sign",Q126950966,,"musical notation",pitch,performer
"octave sign",Q126950966,,"musical notation",pitch,editor
"octave sign",Q126950966,,"musical notation",pitch,composer
accidental,Q816335,,"musical notation",pitch,editor
"repeat sign",Q17137002,variation,"musical notation",duration,composer
"repeat sign",Q17137002,variation,"musical notation",duration,editor
"musical phrasing",Q15130689,,"musical concept",timbre,conductor
"musical phrasing",Q15130689,,"musical concept",timbre,performer
"musical phrasing",Q15130689,,"musical concept",loudness,conductor
"musical phrasing",Q15130689,,"musical concept",loudness,performer
"musical phrasing",Q15130689,,"musical concept",duration,conductor
"musical phrasing",Q15130689,,"musical concept",duration,performer
"string number (sul X)",Q326426,"musical instrument part","musical notation",timbre,performer
cantabile,Q913079,"musical expression","musical notation",timbre,composer
cantabile,Q913079,"musical expression","musical notation",timbre,editor
cantabile,Q913079,"musical phrasing","musical notation",timbre,composer
cantabile,Q913079,"musical phrasing","musical notation",timbre,editor
"musical expression",Q6942545,,"musical notation",timbre,composer
"musical expression",Q6942545,,"musical notation",timbre,conductor
"musical expression",Q6942545,,"musical notation",timbre,performer
"musical expression",Q6942545,,"musical notation",timbre,editor
"musical expression",Q6942545,,"musical notation",loudness,composer
"musical expression",Q6942545,,"musical notation",loudness,conductor
"musical expression",Q6942545,,"musical notation",loudness,performer
"musical expression",Q6942545,,"musical notation",loudness,editor
energico,Q1939445,"musical expression","musical notation",loudness,composer
energico,Q1939445,"musical expression","musical notation",loudness,conductor
energico,Q1939445,"musical expression","musical notation",loudness,editor
energico,Q1939445,"musical expression","musical notation",timbre,composer
energico,Q1939445,"musical expression","musical notation",timbre,conductor
energico,Q1939445,"musical expression","musical notation",timbre,editor
dolce,Q109520245,"musical expression","musical concept",loudness,composer
dolce,Q109520245,"musical expression","musical concept",loudness,conductor
dolce,Q109520245,"musical expression","musical concept",timbre,composer
dolce,Q109520245,"musical expression","musical concept",timbre,conductor
dolce,Q109520245,"musical expression","musical notation",loudness,composer
dolce,Q109520245,"musical expression","musical notation",loudness,conductor
dolce,Q109520245,"musical expression","musical notation",timbre,composer
dolce,Q109520245,"musical expression","musical notation",timbre,conductor
"organ stop",Q1446290,timbre,"musical notation",timbre,performer
"organ stop",Q1446290,timbre,"musical notation",pitch,performer
"organ stop",Q1446290,timbre,"musical notation",loudness,performer
"organ stop",Q1446290,"musical instrument part","musical notation",timbre,performer
"organ stop",Q1446290,"musical instrument part","musical notation",pitch,performer
"organ stop",Q1446290,"musical instrument part","musical notation",loudness,performer
"tempo rubato",Q1063336,tempo,"musical notation",duration,performer
"tempo rubato",Q1063336,tempo,"musical notation",duration,composer
"tempo rubato",Q1063336,tempo,"musical notation",duration,conductor
"tempo rubato",Q1063336,tempo,"musical notation",duration,editor
portamento,Q263934,"musical phrasing","musical technique",pitch,performer
portamento,Q263934,"musical phrasing","musical notation",pitch,performer
"da capo",Q1138573,"repeat sign","musical notation",duration,composer
"da capo",Q1138573,"repeat sign","musical notation",duration,editor
"da capo",Q1138573,"repeat sign","musical notation",duration,performer
"da capo",Q1138573,variation,"musical notation",duration,composer
"da capo",Q1138573,variation,"musical notation",duration,editor
"da capo",Q1138573,variation,"musical notation",duration,performer
"sotto voce",Q7564035,dynamic,"musical technique",timbre,conductor
"sotto voce",Q7564035,dynamic,"musical technique",timbre,composer
"sotto voce",Q7564035,dynamic,"musical technique",loudness,conductor
"sotto voce",Q7564035,dynamic,"musical technique",loudness,composer
"sotto voce",Q7564035,dynamic,"musical notation",timbre,conductor
"sotto voce",Q7564035,dynamic,"musical notation",timbre,composer
"sotto voce",Q7564035,dynamic,"musical notation",loudness,conductor
"sotto voce",Q7564035,dynamic,"musical notation",loudness,composer
"sotto voce",Q7564035,"musical expression","musical technique",timbre,conductor
"sotto voce",Q7564035,"musical expression","musical technique",timbre,composer
"sotto voce",Q7564035,"musical expression","musical technique",loudness,conductor
"sotto voce",Q7564035,"musical expression","musical technique",loudness,composer
"sotto voce",Q7564035,"musical expression","musical notation",timbre,conductor
"sotto voce",Q7564035,"musical expression","musical notation",timbre,composer
"sotto voce",Q7564035,"musical expression","musical notation",loudness,conductor
"sotto voce",Q7564035,"musical expression","musical notation",loudness,composer
"buff stop",Q123059541,"musical instrument part","musical notation",timbre,performer
"buff stop",Q123059541,"musical instrument part","musical technique",timbre,performer
"musical instrument part",Q19659292,,"musical instrument part",timbre,performer
sostenuto,Q945900,articulation,"musical notation",duration,editor
sostenuto,Q945900,articulation,"musical notation",duration,conductor
sostenuto,Q945900,articulation,"musical notation",duration,composer
sostenuto,Q945900,articulation,"musical notation",timbre,editor
sostenuto,Q945900,articulation,"musical notation",timbre,conductor
sostenuto,Q945900,articulation,"musical notation",timbre,composer
sostenuto,Q945900,"musical phrasing","musical notation",duration,editor
sostenuto,Q945900,"musical phrasing","musical notation",duration,conductor
sostenuto,Q945900,"musical phrasing","musical notation",duration,composer
sostenuto,Q945900,"musical phrasing","musical notation",timbre,editor
sostenuto,Q945900,"musical phrasing","musical notation",timbre,conductor
sostenuto,Q945900,"musical phrasing","musical notation",timbre,composer
sostenuto,Q945900,"musical expression","musical notation",duration,editor
sostenuto,Q945900,"musical expression","musical notation",duration,conductor
sostenuto,Q945900,"musical expression","musical notation",duration,composer
sostenuto,Q945900,"musical expression","musical notation",timbre,editor
sostenuto,Q945900,"musical expression","musical notation",timbre,conductor
sostenuto,Q945900,"musical expression","musical notation",timbre,composer
"plainchant transcription",,,translation,pitch,editor
"plainchant transcription",,,translation,pitch,"scholar (owner)"
"plainchant transcription",,,translation,duration,editor
"plainchant transcription",,,translation,duration,"scholar (owner)"
"plainchant transcription",,,"musical notation",pitch,editor
"plainchant transcription",,,"musical notation",pitch,"scholar (owner)"
"plainchant transcription",,,"musical notation",duration,editor
"plainchant transcription",,,"musical notation",duration,"scholar (owner)"
bookplate,Q188456,impression,impression,,"scholar (owner)"
translation,Q7553,,,,performer
translation,Q7553,,,,editor
"comparative study",Q58901591,,"music theory",,"scholar (owner)"
"comparative study",Q58901591,,"music theory",,editor
comparison,Q1720648,,,,"scholar (owner)"
comparison,Q1720648,,,,editor
"Volti subito",Q2268953,,"musical notation",,editor
"Volti subito",Q2268953,,"musical concept",,editor
"performance practice",Q124518087,,"musical concept",,performer
"performance practice",Q124518087,,"musical concept",,editor
pointer,,,glyph,,
